Product,Month Start Date,Actual HC
Bookkeeper FT,2026-01,1
Bookkeeper Full Time Expert,2026-01,1
Bookkeeper Full Time Mid,2026-01,1
Bookkeeper PT Mid,2026-01,1
CRM Data Entry Assistant Full Time,2026-01,1
CSR Bilingual Full Time,2026-01,2
CSR Full Time,2026-01,11
CSR Full Time Mid,2026-01,3
CSR Part Time,2026-01,1
CSR Part Time Mid,2026-01,1
Dedicated SDR FT Mid,2026-01,1
Dedicated SDR Full Time,2026-01,5
Dedicated SDR Part Time,2026-01,2
Digital Marketing Assistant FT Mid,2026-01,1
Digital Marketing Assistant PT,2026-01,1
Digital Marketing Assistant PT Expert,2026-01,1
Digital Marketing Assistant PT Mid,2026-01,5
E-Commerce Assistant Full Time,2026-01,1
E-Commerce Assistant Full Time Mid,2026-01,2
E-Commerce Assistant Part Time Mid,2026-01,1
Ecommerce Assistant FT,2026-01,1
Executive Assistant FT,2026-01,1
Executive Assistant Full Time,2026-01,10
Executive Assistant Full Time Mid,2026-01,1
Executive Assistant Part Time,2026-01,6
Executive Assistant Part Time Expert,2026-01,1
Executive Assistant Part Time Mid,2026-01,5
GVA - FT,2026-01,2
GVA - PT,2026-01,1
GVA Bilingual PT,2026-01,3
GVA Full Time - 999,2026-01,2
General Virtual Assistant Full Time,2026-01,14
General Virtual Assistant Full Time Expert,2026-01,1
General Virtual Assistant Full Time Mid,2026-01,10
General Virtual Assistant Part Time,2026-01,16
General Virtual Assistant Part Time Expert,2026-01,1
General Virtual Assistant Part Time Mid,2026-01,1
Graphic Designer Full Time,2026-01,1
Healthcare Assistant Bilingual FT Expert,2026-01,3
Healthcare Dedicated Receptionist - 8 hours,2026-01,1
Healthcare VA Full Time,2026-01,1
Healthcare VA Full Time Expert,2026-01,2
Healthcare VA Part Time,2026-01,2
Lead Gen Part Time,2026-01,1
Lead Generation Assistant (Full Time),2026-01,1
Lead Generation Assistant (Part Time),2026-01,2
Micro Plan DMA,2026-01,1
Micro Plan DMA Mid 2hr/day,2026-01,1
Micro Plan GVA,2026-01,3
Personal Assistant Part Time,2026-01,1
Real Estate Full Time Expert,2026-01,1
Real Estate Part Time,2026-01,1
Recruitment Assistant PT Mid,2026-01,1
SDR FT Expert,2026-01,2
SDR Full Time,2026-01,2
SDR Full Time Expert,2026-01,2
SDR Full Time Mid,2026-01,3
SDR Part Time,2026-01,2
SDR Part Time Mid,2026-01,3
Social Media Full Time,2026-01,1
Social Media Full Time Expert,2026-01,1
Social Media PT,2026-01,1
Social Media Part Time,2026-01,2
Social Media Part Time Expert,2026-01,1
US-Based Lead Gen Assistant PT Expert,2026-01,1
Video Editor PT Entry,2026-01,2
Bilingual Sales FT Mid,2025-12,1
Bilingual Sales PT Mid,2025-12,1
Bookkeeper Full Time Expert,2025-12,1
Bookkeeper Full Time Mid,2025-12,1
Bookkeeper PT,2025-12,1
Bookkeeper PT Mid,2025-12,2
CSR Bilingual Full Time,2025-12,2
CSR Bilingual Full Time Mid,2025-12,1
CSR Bilingual Part Time,2025-12,1
CSR Full Time,2025-12,8
CSR Full Time Expert,2025-12,3
CSR Full Time Mid,2025-12,4
CSR Part Time,2025-12,4
Customer Service FT,2025-12,1
Dedicated SDR FT Mid,2025-12,2
Dedicated SDR Full Time,2025-12,2
Dedicated SDR Part Time,2025-12,2
Digital Marketing Assistant FT Mid,2025-12,1
Digital Marketing Assistant PT,2025-12,1
Digital Marketing Assistant PT Mid,2025-12,5
Digital Marketing PT,2025-12,1
E-Commerce Assistant Full Time Expert,2025-12,1
Ecommerce Assistant FT,2025-12,1
Executive Assistant FT,2025-12,2
Executive Assistant Full Time,2025-12,5
Executive Assistant Full Time Expert,2025-12,1
Executive Assistant Full Time Mid,2025-12,1
Executive Assistant PT,2025-12,1
Executive Assistant Part Time,2025-12,5
Executive Assistant Part Time Expert,2025-12,2
Executive Assistant Part Time Mid,2025-12,4
GVA - FT,2025-12,1
GVA - PT,2025-12,3
GVA Bilingual FT Mid,2025-12,1
GVA Full Time - 999,2025-12,13
General Virtual Assistant Full Time,2025-12,12
General Virtual Assistant Full Time Mid,2025-12,3
General Virtual Assistant Part Time,2025-12,16
General Virtual Assistant Part Time Mid,2025-12,7
Graphic Designer Full Time Mid,2025-12,1
Healthcare Assistant Bilingual FT,2025-12,1
Healthcare Assistant Bilingual FT Mid,2025-12,1
Healthcare Dedicated Receptionist - 8 hours,2025-12,5
Healthcare VA Full Time,2025-12,2
Healthcare VA Full Time Mid,2025-12,2
Healthcare VA Part Time,2025-12,3
Healthcare VA Part Time Expert,2025-12,1
Healthcare VA Part Time Mid,2025-12,1
Human Resource Assistant FT,2025-12,1
IT Helpdesk Full Time Support,2025-12,1
Lawyer Assistant PT,2025-12,2
Lead Gen Part Time Mid,2025-12,1
Medical Scribe Full Time,2025-12,2
Micro Plan GVA,2025-12,7
Micro Plan SDR,2025-12,2
Personal Assistant Part Time,2025-12,1
Real Estate Part Time Mid,2025-12,1
Recruitment Assistant Full Time,2025-12,1
SDR Full Time,2025-12,6
SDR Full Time Expert,2025-12,4
SDR Full Time Mid,2025-12,2
SDR Part Time,2025-12,3
SDR Part Time Expert,2025-12,2
SDR Part Time Mid,2025-12,2
Social Media Full Time Expert,2025-12,2
Social Media Part Time,2025-12,1
US-Based SDR Assistant PT,2025-12,1
Web Developer,2025-12,1
Bilingual GVA Full Time,2025-11,1
Bilingual Receptionist,2025-11,1
Bilingual Sales FT Mid,2025-11,1
Bilingual Sales PT Mid,2025-11,2
Bookkeeper FT,2025-11,1
Bookkeeper Full Time Expert,2025-11,2
Bookkeeper Full Time Mid,2025-11,2
Bookkeeper PT,2025-11,3
CSR Bilingual Full Time,2025-11,9
CSR Full Time,2025-11,8
CSR Full Time Expert,2025-11,1
CSR Full Time Mid,2025-11,2
CSR Part Time,2025-11,1
Customer Service FT,2025-11,3
Dedicated Receptionist 8H,2025-11,1
Dedicated SDR FT Mid,2025-11,1
Dedicated SDR Full Time,2025-11,3
Digital Marketing Assistant FT Mid,2025-11,3
Digital Marketing Assistant PT,2025-11,2
Digital Marketing Assistant PT Expert,2025-11,2
Digital Marketing Assistant PT Mid,2025-11,4
Digital Marketing FT,2025-11,2
E-Commerce Assistant Full Time,2025-11,1
E-Commerce Assistant Full Time Mid,2025-11,1
EA Bilingual FT,2025-11,1
Ecommerce Assistant FT,2025-11,2
Executive Assistant FT,2025-11,1
Executive Assistant Full Time,2025-11,5
Executive Assistant Full Time Expert,2025-11,1
Executive Assistant Full Time Mid,2025-11,7
Executive Assistant Part Time,2025-11,3
Executive Assistant Part Time Expert,2025-11,1
Executive Assistant Part Time Mid,2025-11,1
GVA - FT,2025-11,1
GVA Bilingual FT,2025-11,1
GVA Full Time - 999,2025-11,3
General Virtual Assistant Full Time,2025-11,6
General Virtual Assistant Full Time Mid,2025-11,10
General Virtual Assistant Part Time,2025-11,15
General Virtual Assistant Part Time Mid,2025-11,3
Graphic Designer Full Time,2025-11,3
Graphic Designer Part Time,2025-11,1
Healthcare VA Full Time,2025-11,6
Healthcare VA Full Time Mid,2025-11,1
Human Resource Assistant FT,2025-11,1
Junior Back-End Developer Expert PT,2025-11,1
Junior Full Stack Developer Expert FT,2025-11,1
Junior Full Stack Developer Expert PT,2025-11,1
Lawyer Assistant FT Mid,2025-11,1
Lead Gen Part Time Mid,2025-11,2
Lead Generation Assistant (Full Time),2025-11,1
Medical Scribe Bilingual PT,2025-11,1
Medical Scribe Full Time,2025-11,1
Micro Plan GVA,2025-11,3
Micro Plan GVA Mid 2hr/day,2025-11,1
Micro Plan SDR,2025-11,3
Personal Assistant Full Time,2025-11,1
Real Estate Full Time,2025-11,1
SDR Full Time,2025-11,1
SDR Full Time Expert,2025-11,4
SDR Full Time Mid,2025-11,1
SDR Part Time,2025-11,2
SDR Part Time Expert,2025-11,1
SDR Part Time Mid,2025-11,6
Social Media PT,2025-11,1
Social Media Part Time,2025-11,2
US SDR Part Time,2025-11,1
US-Based Executive Assistant PT Expert,2025-11,1
US-Based SDR Assistant Full Time Mid,2025-11,1
Airbnb Assistant FT,2025-10,1
Bilingual GVA - FT,2025-10,1
Bilingual Sales FT,2025-10,2
Bilingual Sales PT Expert,2025-10,1
"Bilingual, Spanish/English Sales Callers",2025-10,2
Bookkeeper Full Time Mid,2025-10,2
Bookkeeper PT Mid,2025-10,4
CRM Data Entry Assistant Full Time,2025-10,1
CSR Bilingual Full Time,2025-10,1
CSR Bilingual Part Time,2025-10,1
CSR Full Time,2025-10,5
CSR Full Time Expert,2025-10,3
CSR Full Time Mid,2025-10,2
CSR Part Time,2025-10,2
Content Writer Full Time Mid,2025-10,1
Dedicated SDR FT Mid,2025-10,2
Dedicated SDR Full Time,2025-10,6
Dedicated SDR Part Time,2025-10,5
Digital Marketing Assistant FT Expert,2025-10,2
Digital Marketing Assistant FT Mid,2025-10,2
Digital Marketing PT,2025-10,4
E-Commerce Assistant Full Time,2025-10,3
E-Commerce Assistant Full Time Expert,2025-10,1
E-Commerce Assistant Part Time,2025-10,1
EA Bilingual FT,2025-10,1
EA Bilingual FT Expert,2025-10,1
EA Bilingual PT,2025-10,1
Executive Assistant FT,2025-10,3
Executive Assistant Full Time,2025-10,9
Executive Assistant Full Time Expert,2025-10,6
Executive Assistant Full Time Mid,2025-10,3
Executive Assistant PT,2025-10,1
Executive Assistant Part Time,2025-10,5
Executive Assistant Part Time Expert,2025-10,1
Executive Assistant Part Time Mid,2025-10,1
GVA - FT,2025-10,2
GVA - PT,2025-10,7
GVA Bilingual FT Expert,2025-10,1
GVA Full Time - 999,2025-10,8
General Virtual Assistant Full Time,2025-10,9
General Virtual Assistant Full Time Expert,2025-10,1
General Virtual Assistant Full Time Mid,2025-10,7
General Virtual Assistant Part Time,2025-10,18
General Virtual Assistant Part Time Mid,2025-10,2
Graphic Designer Full Time Expert,2025-10,2
Graphic Designer Full Time Mid,2025-10,2
Graphic Designer Part Time,2025-10,1
Graphic Designer Part Time Mid,2025-10,2
Healthcare VA Full Time,2025-10,2
Healthcare VA Full Time Expert,2025-10,1
Healthcare VA Full Time Mid,2025-10,1
Healthcare VA Part Time Mid,2025-10,2
Lawyer Assistant FT Mid,2025-10,1
Lead Gen Full Time Mid,2025-10,1
Lead Gen Part Time,2025-10,1
Lead Gen Part Time Mid,2025-10,3
Lead Generation Assistant (Full Time),2025-10,1
Lead Generation Assistant (Part Time),2025-10,1
Medical Scribe Full Time,2025-10,1
Micro Plan Bookkeeper Expert 2hr/day,2025-10,1
Micro Plan Bookkeeper Mid 2hr/day,2025-10,3
Micro Plan DMA Mid 2hr/day,2025-10,1
Micro Plan EA Expert 2hr/day,2025-10,1
