Product,Start Date,Actual HC
Healthcare VA Part Time Mid,2026-02-23,1
Customer Service FT,2026-02-22,1
Customer Service FT,2026-02-21,1
Customer Service FT,2026-02-20,1
Customer Service FT,2026-02-19,1
Customer Service FT,2026-02-18,1
Customer Service FT,2026-02-17,1
CSR Part Time,2026-02-16,1
IT Helpdesk Full Time Support,2026-02-16,1
SDR Part Time Mid,2026-02-16,2
Executive Assistant Full Time Mid,2026-02-15,1
Executive Assistant Full Time Mid,2026-02-14,1
Executive Assistant Full Time Mid,2026-02-13,1
SDR Part Time Mid,2026-02-12,1
SDR Part Time Mid,2026-02-11,1
Social Media Part Time,2026-02-11,1
Executive Assistant Part Time,2026-02-10,1
General Virtual Assistant Full Time Mid,2026-02-10,1
CRM Data Entry Assistant Part Time,2026-02-09,1
CSR Full Time Mid,2026-02-09,1
Dedicated SDR Full Time,2026-02-09,1
Executive Assistant Full Time,2026-02-09,1
General Virtual Assistant Part Time,2026-02-09,2
SDR Full Time Expert,2026-02-09,3
CSR Bilingual Full Time,2026-02-08,1
CSR Bilingual Full Time,2026-02-07,1
CSR Bilingual Full Time,2026-02-06,1
CSR Full Time,2026-02-06,1
Dedicated SDR Part Time,2026-02-06,1
Digital Marketing Assistant PT Mid,2026-02-06,1
Executive Assistant Full Time,2026-02-06,1
Executive Assistant Full Time Mid,2026-02-06,1
Executive Assistant Part Time,2026-02-06,1
GVA - FT,2026-02-06,1
General Virtual Assistant Full Time,2026-02-06,1
General Virtual Assistant Part Time,2026-02-06,1
Lead Generation Assistant (Part Time),2026-02-06,1
Personal Assistant Part Time,2026-02-06,1
Social Media FT,2026-02-06,1
US-Based SDR Assistant PT,2026-02-06,1
Digital Marketing Assistant PT Expert,2026-02-05,1
Graphic Designer Part Time Mid,2026-02-05,1
Junior Front-End Developer Expert FT,2026-02-05,1
Social Media Full Time Expert,2026-02-05,1
Video Editor FT Expert,2026-02-05,1
General Virtual Assistant Full Time Mid,2026-02-04,1
General Virtual Assistant Part Time Mid,2026-02-04,1
Healthcare Dedicated Receptionist - 8 hours,2026-02-04,1
Healthcare VA Full Time,2026-02-04,1
Recruitment Assistant Full Time Mid,2026-02-04,1
SDR Part Time Mid,2026-02-04,1
General Virtual Assistant Part Time,2026-02-03,1
Social Media PT,2026-02-03,1
Bilingual Sales FT Mid,2026-02-02,1
Bookkeeper Full Time Mid,2026-02-02,1
Bookkeeper PT,2026-02-02,1
CRM Data Entry Assistant Full Time,2026-02-02,1
CSR Full Time Expert,2026-02-02,1
Executive Assistant FT,2026-02-02,1
GVA - PT,2026-02-02,2
General Virtual Assistant Full Time,2026-02-02,2
General Virtual Assistant Full Time Mid,2026-02-02,1
IT Helpdesk Full Time Support,2026-02-02,1
SDR Full Time Mid,2026-02-02,1
SDR Part Time Mid,2026-02-02,1
General Virtual Assistant Full Time,2026-02-01,1
General Virtual Assistant Full Time,2026-01-31,1
CSR Full Time,2026-01-30,4
Customer Service FT,2026-01-30,2
Dedicated SDR Part Time,2026-01-30,1
Executive Assistant Full Time,2026-01-30,2
Executive Assistant Part Time,2026-01-30,2
General Virtual Assistant Full Time,2026-01-30,3
General Virtual Assistant Full Time Mid,2026-01-30,1
General Virtual Assistant Part Time,2026-01-30,1
SDR Full Time,2026-01-30,2
Social Media Part Time Expert,2026-01-30,1
Bilingual Sales FT Expert,2026-01-29,1
Dedicated SDR Part Time,2026-01-29,1
Digital Marketing Assistant PT Mid,2026-01-29,1
Executive Assistant Part Time,2026-01-29,1
General Virtual Assistant Full Time,2026-01-29,2
General Virtual Assistant Part Time,2026-01-29,1
Graphic Designer Full Time,2026-01-29,1
Micro Plan GVA,2026-01-29,1
Micro Plan SDR,2026-01-29,1
Real Estate Part Time,2026-01-29,1
CRM Data Entry Assistant Full Time,2026-01-28,1
CSR Bilingual Full Time,2026-01-28,1
Dedicated SDR Full Time,2026-01-28,1
Digital Marketing Assistant PT Mid,2026-01-28,1
E-Commerce Assistant Full Time Expert,2026-01-28,1
Executive Assistant Part Time Mid,2026-01-28,1
General Virtual Assistant Full Time,2026-01-28,1
General Virtual Assistant Part Time,2026-01-28,1
Healthcare VA Full Time Mid,2026-01-28,1
Real Estate Full Time Expert,2026-01-28,1
Social Media Part Time,2026-01-28,1
Bilingual GVA - PT,2026-01-27,1
CSR Full Time,2026-01-27,2
Digital Marketing Assistant PT Expert,2026-01-27,1
Digital Marketing Assistant PT Mid,2026-01-27,1
Bilingual GVA - FT,2026-01-26,1
Dedicated SDR Full Time,2026-01-26,1
Executive Assistant Full Time Mid,2026-01-26,2
General Virtual Assistant Full Time,2026-01-26,1
General Virtual Assistant Part Time,2026-01-26,2
Healthcare Dedicated Receptionist - 8 hours,2026-01-26,1
Healthcare VA Full Time Expert,2026-01-26,1
Lead Generation Assistant (Part Time),2026-01-26,1
Recruitment Assistant PT Mid,2026-01-26,1
SDR FT Expert,2026-01-26,2
SDR Part Time Mid,2026-01-26,1
Social Media Part Time,2026-01-26,1
General Virtual Assistant Part Time,2026-01-25,1
General Virtual Assistant Part Time,2026-01-24,1
Bookkeeper Full Time Expert,2026-01-23,1
E-Commerce Assistant Full Time Mid,2026-01-23,1
Executive Assistant Full Time,2026-01-23,1
General Virtual Assistant Full Time,2026-01-23,4
General Virtual Assistant Part Time,2026-01-23,1
Graphic Designer Full Time,2026-01-23,1
Healthcare Assistant Bilingual FT Expert,2026-01-23,1
Junior Full Stack Developer Expert,2026-01-23,1
SDR FT Expert,2026-01-23,1
SDR Part Time,2026-01-23,1
US-Based General Virtual Assistant PT,2026-01-23,1
Executive Assistant Part Time,2026-01-22,1
General Virtual Assistant Full Time,2026-01-22,2
General Virtual Assistant Full Time Mid,2026-01-22,1
General Virtual Assistant Part Time,2026-01-22,1
General Virtual Assistant Part Time Mid,2026-01-22,1
SDR Part Time Mid,2026-01-22,1
CRM Data Entry Assistant Full Time Two,2026-01-21,1
CSR Bilingual Full Time,2026-01-21,1
Dedicated SDR Full Time,2026-01-21,1
General Virtual Assistant Part Time,2026-01-21,1
General Virtual Assistant Part Time Mid,2026-01-21,1
Healthcare VA Full Time,2026-01-21,1
Medical Scribe Bilingual FT,2026-01-21,1
Real Estate Part Time,2026-01-21,1
SDR Full Time Expert,2026-01-21,1
Dedicated SDR Full Time,2026-01-20,1
Dedicated SDR Part Time,2026-01-20,1
General Virtual Assistant Full Time Mid,2026-01-20,1
General Virtual Assistant Part Time,2026-01-20,1
Healthcare Assistant Bilingual FT Mid,2026-01-20,1
Healthcare VA Full Time Expert,2026-01-20,1
Human Resource Assistant PT Expert,2026-01-20,1
SDR Full Time Mid,2026-01-20,2
Bilingual Sales FT,2026-01-19,1
CSR Full Time,2026-01-19,1
Digital Marketing Assistant PT Mid,2026-01-19,1
Ecommerce Assistant FT,2026-01-19,1
Executive Assistant Full Time,2026-01-19,1
