Week Start Date,Linear Regression Forecast HC
02/23/2026,56
03/02/2026,56
03/09/2026,55
03/16/2026,55
03/23/2026,55
03/30/2026,55
04/06/2026,55
04/13/2026,55
04/20/2026,55
04/27/2026,55
05/04/2026,55
05/11/2026,55
05/18/2026,55
05/25/2026,55
06/01/2026,55
06/08/2026,55
06/15/2026,54
06/22/2026,54
06/29/2026,54
07/06/2026,54
07/13/2026,54
07/20/2026,54
07/27/2026,54
08/03/2026,54
08/10/2026,54
08/17/2026,54
08/24/2026,54
08/31/2026,54
09/07/2026,54
09/14/2026,54
09/21/2026,53
09/28/2026,53
10/05/2026,53
10/12/2026,53
10/19/2026,53
10/26/2026,53
11/02/2026,53
11/09/2026,53
11/16/2026,53
11/23/2026,53
11/30/2026,53
12/07/2026,53
12/14/2026,53
12/21/2026,53
12/28/2026,52
01/04/2027,52
01/11/2027,52
01/18/2027,52
01/25/2027,52
02/01/2027,52
02/08/2027,52
02/15/2027,52
02/22/2027,52
03/01/2027,52
03/08/2027,52
03/15/2027,52
03/22/2027,52
03/29/2027,52
04/05/2027,51
04/12/2027,51
04/19/2027,51
04/26/2027,51
05/03/2027,51
05/10/2027,51
05/17/2027,51
05/24/2027,51
05/31/2027,51
06/07/2027,51
06/14/2027,51
06/21/2027,51
06/28/2027,51
07/05/2027,51
07/12/2027,50
07/19/2027,50
07/26/2027,50
08/02/2027,50
08/09/2027,50
08/16/2027,50
08/23/2027,50
08/30/2027,50
09/06/2027,50
09/13/2027,50
09/20/2027,50
09/27/2027,50
10/04/2027,50
10/11/2027,50
10/18/2027,49
10/25/2027,49
11/01/2027,49
11/08/2027,49
